Date,Active_Rig_Count,Offshore_Rig_Supply,Offshore_Rig_Active,Offshore_Utilization_Rate,Land_Rig_Active_Count,Crude_Price_2010_USD,World_Petrol_Cunsump,World_Petrol_Production,Adjusted_Nat_Gas_Price_2010
Jan-75,2694,,,,,46.53,47035.548,47035.548,
Feb-75,2718,,,,,46.27,46047.671,46047.671,
Mar-75,2769,,,,,46.09,46091.935,46091.935,
Apr-75,2593,,,,,45.92,45721.056,45721.056,
May-75,2557,,,,,45.83,46119.653,46119.653,
Jun-75,2650,,,,,45.49,47347.611,47347.611,
Jul-75,2670,,,,,45.07,48728.312,48728.312,
Aug-75,2711,,,,,44.9,49696.57,49696.57,
Sep-75,2743,,,,,44.57,51649.159,51649.159,
Oct-75,2801,,,,,44.33,46064.983,46064.983,
Nov-75,2853,,,,,44.01,47778.257,47778.257,
Dec-75,2899,,,,,43.77,48495.763,48495.763,
Jan-76,2871,,,,,43.62,47599.944,47599.944,
Feb-76,2765,,,,,46.93,48977.046,48977.046,
Mar-76,2699,,,,,47.12,50400.282,50400.282,
Apr-76,2511,,,,,47.31,49371.106,49371.106,
May-76,2578,,,,,47.06,49593.629,49593.629,
Jun-76,2698,,,,,46.81,51437.517,51437.517,
Jul-76,2723,,,,,46.56,51622.399,51622.399,
Aug-76,2848,,,,,46.32,51986.931,51986.931,
Sep-76,2888,,,,,52.63,52964.119,52964.119,
Oct-76,2926,,,,,52.35,54762.766,54762.766,
Nov-76,2976,,,,,52.17,55362.104,55362.104,
Dec-76,3013,,,,,51.91,56740.09,56740.09,
Jan-77,3033,,,,,51.64,51027.271,51027.271,
Feb-77,3095,,,,,51.12,54815.088,54815.088,
Mar-77,3123,,,,,50.86,55211.7,55211.7,
Apr-77,3012,,,,,50.52,54416.635,54416.635,
May-77,3098,,,,,50.35,52474.323,52474.323,
Jun-77,3182,,,,,50.1,53348.465,53348.465,
Jul-77,3233,,,,,49.86,52231.314,52231.314,
Aug-77,3317,,,,,53,52975.404,52975.404,
Sep-77,3313,,,,,52.83,54427.505,54427.505,
Oct-77,3353,,,,,52.57,54084.205,54084.205,
Nov-77,3398,,,,,52.23,55244.055,55244.055,
Dec-77,3444,,,,,51.98,56465.805,56465.805,
Jan-78,3403,,,,,51.65,50807.837,50807.837,
Feb-78,3452,,,,,51.4,52261.748,52261.748,
Mar-78,3486,,,,,51.08,52772.346,52772.346,
Apr-78,3423,,,,,50.68,53605.765,53605.765,
May-78,3507,,,,,50.21,52698.479,52698.479,
Jun-78,3605,,,,,49.82,54033.647,54033.647,
Jul-78,3667,,,,,49.44,53699.466,53699.466,
Aug-78,3712,,,,,49.14,54475.411,54475.411,
Sep-78,3701,,,,,48.7,56663.609,56663.609,
Oct-78,3738,,,,,48.26,57069.268,57069.268,
Nov-78,3800,,,,,47.98,57221.37,57221.37,
Dec-78,3737,,,,,47.69,55776.818,55776.818,
Jan-79,3610,,,,,47.28,54160.568,54160.568,
Feb-79,3520,,,,,49.95,54451.215,54451.215,
Mar-79,3409,,,,,49.45,55806.997,55806.997,
Apr-79,3271,,,,,48.96,56733.737,56733.737,
May-79,3270,,,,,55.28,56589.122,56589.122,
Jun-79,3436,,,,,57.69,56862.832,56862.832,
Jul-79,3565,,,,,64.98,57437.976,57437.976,
Aug-79,3749,,,,,78.41,57316.11,57316.11,
