Date,Active_Rig_Count,Offshore_Rig_Supply,Offshore_Rig_Active,Offshore_Utilization_Rate,Land_Rig_Active_Count,Crude_Price_2010_USD,Adjusted_Nat_Gas_Price_2010,World_Oil_Cunsump,World_Oil_Production
Jan-75,2694,,,,,46.53,,4683.143,
Feb-75,2718,,,,,46.27,,4683.143,
Mar-75,2769,,,,,46.09,,4683.143,
Apr-75,2593,,,,,45.92,,4683.143,
May-75,2557,,,,,45.83,,4683.143,
Jun-75,2650,,,,,45.49,,4683.143,
Jul-75,2670,,,,,45.07,,4683.143,
Aug-75,2711,,,,,44.9,,4683.143,
Sep-75,2743,,,,,44.57,,4683.143,
Oct-75,2801,,,,,44.33,,4683.143,
Nov-75,2853,,,,,44.01,,4683.143,
Dec-75,2899,,,,,43.77,,4683.143,
Jan-76,2871,,,,,43.62,,4972.729417,
Feb-76,2765,,,,,46.93,,4972.729417,
Mar-76,2699,,,,,47.12,,4972.729417,
Apr-76,2511,,,,,47.31,,4972.729417,
May-76,2578,,,,,47.06,,4972.729417,
Jun-76,2698,,,,,46.81,,4972.729417,
Jul-76,2723,,,,,46.56,,4972.729417,
Aug-76,2848,,,,,46.32,,4972.729417,
Sep-76,2888,,,,,52.63,,4972.729417,
Oct-76,2926,,,,,52.35,,4972.729417,
Nov-76,2976,,,,,52.17,,4972.729417,
Dec-76,3013,,,,,51.91,,4972.729417,
Jan-77,3033,,,,,51.64,,5152.189417,
Feb-77,3095,,,,,51.12,,5152.189417,
Mar-77,3123,,,,,50.86,,5152.189417,
Apr-77,3012,,,,,50.52,,5152.189417,
May-77,3098,,,,,50.35,,5152.189417,
Jun-77,3182,,,,,50.1,,5152.189417,
Jul-77,3233,,,,,49.86,,5152.189417,
Aug-77,3317,,,,,53,,5152.189417,
Sep-77,3313,,,,,52.83,,5152.189417,
Oct-77,3353,,,,,52.57,,5152.189417,
Nov-77,3398,,,,,52.23,,5152.189417,
Dec-77,3444,,,,,51.98,,5152.189417,
Jan-78,3403,,,,,51.65,,5346.54075,
Feb-78,3452,,,,,51.4,,5346.54075,
Mar-78,3486,,,,,51.08,,5346.54075,
Apr-78,3423,,,,,50.68,,5346.54075,
May-78,3507,,,,,50.21,,5346.54075,
Jun-78,3605,,,,,49.82,,5346.54075,
Jul-78,3667,,,,,49.44,,5346.54075,
Aug-78,3712,,,,,49.14,,5346.54075,
Sep-78,3701,,,,,48.7,,5346.54075,
Oct-78,3738,,,,,48.26,,5346.54075,
Nov-78,3800,,,,,47.98,,5346.54075,
Dec-78,3737,,,,,47.69,,5346.54075,
Jan-79,3610,,,,,47.28,,5435.021667,
Feb-79,3520,,,,,49.95,,5435.021667,
Mar-79,3409,,,,,49.45,,5435.021667,
Apr-79,3271,,,,,48.96,,5435.021667,
May-79,3270,,,,,55.28,,5435.021667,
Jun-79,3436,,,,,57.69,,5435.021667,
Jul-79,3565,,,,,64.98,,5435.021667,
Aug-79,3749,,,,,78.41,,5435.021667,
Sep-79,3865,,,,,83.54,,5435.021667,
Oct-79,3963,,,,,84.1,,5435.021667,
Nov-79,4070,,,,,88.95,,5435.021667,
Dec-79,4176,,,,,92.17,,5435.021667,
Jan-80,4155,,,,,90.87,,5259.43925,5332.316667
Feb-80,4275,,,,,102.14,,5259.43925,5332.316667
Mar-80,4318,,,,,103.46,,5259.43925,5332.316667
Apr-80,4271,,,,,106.48,,5259.43925,5332.316667
May-80,4442,,,,,105.44,,5259.43925,5332.316667
Jun-80,4534,,,,,104.41,,5259.43925,5332.316667
Jul-80,4674,,,,,104.29,,5259.43925,5332.316667
Aug-80,4796,,,,,99.6,,5259.43925,5332.316667
Sep-80,4835,,,,,93.57,,5259.43925,5332.316667
Oct-80,4905,,,,,92.69,,5259.43925,5332.316667
Nov-80,4989,,,,,91.72,,5259.43925,5332.316667
Dec-80,5037,,,,,93.39,,5259.43925,5332.316667
Jan-81,5105,,,,,95.03,,5078.902833,5050.166667
Feb-81,5309,,,,,94.17,,5078.902833,5050.166667
Mar-81,5382,,,,,93.53,,5078.902833,5050.166667
Apr-81,5267,,,,,93.01,,5078.902833,5050.166667
May-81,5358,,,,,92.39,,5078.902833,5050.166667
Jun-81,5515,,,,,86.75,,5078.902833,5050.166667
Jul-81,5605,,,,,85.8,,5078.902833,5050.166667
Aug-81,5750,,,,,85.15,,5078.902833,5050.166667
Sep-81,5885,,,,,84.33,,5078.902833,5050.166667
Oct-81,5995,,,,,81.72,,5078.902833,5050.166667
Nov-81,6093,,,,,83.7,,5078.902833,5050.166667
Dec-81,6227,,,,,81.11,,4968.226667,5050.166667
Jan-82,6148,,,,,78.2,5.151677966,4968.226667,4841.675
Feb-82,5965,,,,,72.68,5.29655755,4968.226667,4841.675
Mar-82,5589,,,,,65.59,5.411700106,4968.226667,4841.675
Apr-82,5035,,,,,76.79,5.509389474,4968.226667,4841.675
May-82,4741,,,,,81.71,5.571386861,4968.226667,4841.675
Jun-82,4513,,,,,78.85,5.508206186,4968.226667,4841.675
Jul-82,4350,,,,,76.41,5.524693333,4968.226667,4841.675
Aug-82,4226,,,,,75.78,5.64731218,4968.226667,4841.675
Sep-82,4088,,,,,79.53,5.714276356,4968.226667,4841.675
Oct-82,4038,,,,,79.32,5.779898063,4968.226667,4841.675
Nov-82,4260,,,,,75.99,5.830302041,4968.226667,4841.675
Dec-82,4489,,,,,70.8,5.848204708,4904.035,4841.675
Jan-83,4279,,,,,69.48,5.925360572,4904.035,4827.441667
Feb-83,3806,,,,,64.42,5.919314286,4904.035,4827.441667
Mar-83,3551,,,,,64.07,5.735437309,4904.035,4827.441667
Apr-83,3203,,,,,67.57,5.584437247,4904.035,4827.441667
May-83,3275,,,,,65.95,5.561919355,4904.035,4827.441667
Jun-83,3439,,,,,68.01,5.682366197,4904.035,4827.441667
Jul-83,3500,,,,,69.18,5.506629259,4904.035,4827.441667
Aug-83,3656,,,,,69.52,5.620843157,4904.035,4827.441667
Sep-83,3706,,,,,67.57,5.799537849,4904.035,4827.441667
Oct-83,3799,,,,,65.79,5.581809524,4904.035,4827.441667
Nov-83,4011,,,,,64.37,5.608387735,4904.035,4827.441667
Dec-83,4270,,,,,62.89,5.613301775,4969.634325,4827.441667
Jan-84,4133,,,,,63.42,5.702973555,4969.634325,4963.621495
Feb-84,3971,,,,,64.07,5.760202729,4969.634325,4963.621495
Mar-84,3789,,,,,65.19,5.658635569,4969.634325,4963.621495
Apr-84,3454,,,,,64.64,5.573390126,4969.634325,4963.621495
May-84,3655,,,,,64.31,5.625831884,4969.634325,4963.621495
Jun-84,3800,,,,,63.02,5.67807136,4969.634325,4963.621495
Jul-84,3858,,,,,60.23,5.614355427,4969.634325,4963.621495
Aug-84,3928,,,,,61.1,5.619111111,4969.634325,4963.621495
Sep-84,3911,,,,,61.05,5.457207259,4969.634325,4963.621495
Oct-84,3995,,,,,59.69,5.457187441,4969.634325,4963.621495
