Date,International Petrol Consumption
Jan-73,49250.706
Feb-73,49767.142
Mar-73,49783.51
Apr-73,49728.109
May-73,50913.528
Jun-73,50289.342
Jul-73,51989.449
Aug-73,51322.868
Sep-73,52283.62
Oct-73,51290.97
Nov-73,48597.403
Dec-73,49018.864
Jan-74,50098.006
Feb-74,50553.552
Mar-74,51121.199
Apr-74,51711.229
May-74,51852.566
Jun-74,51512.804
Jul-74,50504.78
Aug-74,49060.037
Sep-74,49431.228
Oct-74,49677.654
Nov-74,49783.311
Dec-74,49283.93
Jan-75,47035.548
Feb-75,46047.671
Mar-75,46091.935
Apr-75,45721.056
May-75,46119.653
Jun-75,47347.611
Jul-75,48728.312
Aug-75,49696.57
Sep-75,51649.159
Oct-75,46064.983
Nov-75,47778.257
Dec-75,48495.763
Jan-76,47599.944
Feb-76,48977.046
Mar-76,50400.282
Apr-76,49371.106
May-76,49593.629
Jun-76,51437.517
Jul-76,51622.399
Aug-76,51986.931
Sep-76,52964.119
Oct-76,54762.766
Nov-76,55362.104
Dec-76,56740.09
Jan-77,51027.271
Feb-77,54815.088
Mar-77,55211.7
Apr-77,54416.635
May-77,52474.323
Jun-77,53348.465
Jul-77,52231.314
Aug-77,52975.404
Sep-77,54427.505
Oct-77,54084.205
Nov-77,55244.055
Dec-77,56465.805
Jan-78,50807.837
Feb-78,52261.748
Mar-78,52772.346
Apr-78,53605.765
May-78,52698.479
Jun-78,54033.647
Jul-78,53699.466
Aug-78,54475.411
Sep-78,56663.609
Oct-78,57069.268
Nov-78,57221.37
Dec-78,55776.818
Jan-79,54160.568
Feb-79,54451.215
Mar-79,55806.997
Apr-79,56733.737
May-79,56589.122
Jun-79,56862.832
Jul-79,57437.976
Aug-79,57316.11
Sep-79,57177.794
Oct-79,57565.031
Nov-79,57856.05
Dec-79,57329.408
Jan-80,56365.776
Feb-80,56855.422
Mar-80,55736.996
Apr-80,54432.987
May-80,53945.816
Jun-80,54199.215
Jul-80,53691.345
Aug-80,53520.055
Sep-80,52420.661
Oct-80,49894.066
Nov-80,50782.572
Dec-80,51976.928
Jan-81,51759.718
Feb-81,51993.703
Mar-81,52563.569
Apr-81,51572.008
May-81,50848.94
Jun-81,50385.374
Jul-81,48677.885
Aug-81,48421.206
Sep-81,48219.253
Oct-81,48451.032
Nov-81,47895.052
Dec-81,48897.837
Jan-82,79884.407
Feb-82,80408.516
Mar-82,77365.74
Apr-82,75243.632
May-82,73357.848
Jun-82,75732.963
Jul-82,75018.475
Aug-82,74574.88
Sep-82,75176.543
Oct-82,76367.594
Nov-82,78324.598
Dec-82,78254.527
Jan-83,74940.298
Feb-83,73893.198
Mar-83,74679.448
Apr-83,72253.44
May-83,73041.839
Jun-83,74324.841
Jul-83,75020.916
Aug-83,76124.558
Sep-83,76652.295
Oct-83,76292.821
Nov-83,78056.143
Dec-83,79750.554
Jan-84,79952.50274
Feb-84,79976.19803
Mar-84,79602.28782
Apr-84,77313.12009
May-84,77013.36587
Jun-84,78019.25472
Jul-84,77281.41871
Aug-84,76498.06226
Sep-84,76136.74941
Oct-84,77248.58529
Nov-84,78367.44441
Dec-84,78274.83818
Jan-85,78317.26217
Feb-85,79743.14236
Mar-85,77382.29526
Apr-85,75828.41702
May-85,74039.03003
Jun-85,72762.725
Jul-85,74161.08761
Aug-85,74641.22251
Sep-85,75675.12767
Oct-85,78674.44568
Nov-85,79015.112
Dec-85,81258.56758
Jan-86,79263.87342
Feb-86,81018.14143
Mar-86,78789.87297
Apr-86,78570.30667
May-86,78336.06029
Jun-86,79572.84467
Jul-86,81053.32613
Aug-86,81556.84103
Sep-86,77496.13533
Oct-86,78698.67742
Nov-86,79540.57033
Dec-86,82279.87726
Jan-87,80231.49008
Feb-87,80374.85785
Mar-87,78682.18151
Apr-87,78285.74312
May-87,77394.0809
Jun-87,78859.42378
Jul-87,81903.99816
Aug-87,81201.32244
Sep-87,81829.77551
Oct-87,82028.21573
Nov-87,81598.23186
Dec-87,84231.95379
Jan-88,81673.94781
Feb-88,83824.36986
Mar-88,83560.80991
Apr-88,80982.86789
May-88,79737.08374
Jun-88,81380.16489
Jul-88,81227.58951
Aug-88,83029.11554
Sep-88,83512.03989
Oct-88,85528.98709
Nov-88,88184.63355
Dec-88,89752.27454
Jan-89,83708.22825
Feb-89,84935.60477
Mar-89,85035.10187
Apr-89,82517.24759
May-89,81963.22723
Jun-89,83448.68338
Jul-89,82510.87587
Aug-89,84764.72765
Sep-89,84443.76087
Oct-89,85971.62748
Nov-89,87812.34215
Dec-89,89857.74922
Jan-90,86647.54582
Feb-90,87620.63465
Mar-90,87586.66369
Apr-90,85250.76055
May-90,84853.21074
Jun-90,84497.3328
Jul-90,85409.76763
Aug-90,82511.90491
Sep-90,83059.75921
Oct-90,84013.34658
Nov-90,85181.02025
Dec-90,85856.70812
Jan-91,87130.90462
Feb-91,85562.76171
Mar-91,84512.05574
Apr-91,82891.13733
May-91,82377.49671
Jun-91,83292.17772
Jul-91,84112.50658
Aug-91,83559.36572
Sep-91,84503.2154
Oct-91,85762.12366
