Date,International Petrol Production
Jan-73,49250.706
Feb-73,49767.142
Mar-73,49783.51
Apr-73,49728.109
May-73,50913.528
Jun-73,50289.342
Jul-73,51989.449
Aug-73,51322.868
Sep-73,52283.62
Oct-73,51290.97
Nov-73,48597.403
Dec-73,49018.864
Jan-74,50098.006
Feb-74,50553.552
Mar-74,51121.199
Apr-74,51711.229
May-74,51852.566
Jun-74,51512.804
Jul-74,50504.78
Aug-74,49060.037
Sep-74,49431.228
Oct-74,49677.654
Nov-74,49783.311
Dec-74,49283.93
Jan-75,47035.548
Feb-75,46047.671
Mar-75,46091.935
Apr-75,45721.056
May-75,46119.653
Jun-75,47347.611
Jul-75,48728.312
Aug-75,49696.57
Sep-75,51649.159
Oct-75,46064.983
Nov-75,47778.257
Dec-75,48495.763
Jan-76,47599.944
Feb-76,48977.046
Mar-76,50400.282
Apr-76,49371.106
May-76,49593.629
Jun-76,51437.517
Jul-76,51622.399
Aug-76,51986.931
Sep-76,52964.119
Oct-76,54762.766
Nov-76,55362.104
Dec-76,56740.09
Jan-77,51027.271
Feb-77,54815.088
Mar-77,55211.7
Apr-77,54416.635
May-77,52474.323
Jun-77,53348.465
Jul-77,52231.314
Aug-77,52975.404
Sep-77,54427.505
Oct-77,54084.205
Nov-77,55244.055
Dec-77,56465.805
Jan-78,50807.837
Feb-78,52261.748
Mar-78,52772.346
Apr-78,53605.765
May-78,52698.479
Jun-78,54033.647
Jul-78,53699.466
Aug-78,54475.411
Sep-78,56663.609
Oct-78,57069.268
Nov-78,57221.37
Dec-78,55776.818
Jan-79,54160.568
Feb-79,54451.215
Mar-79,55806.997
Apr-79,56733.737
May-79,56589.122
Jun-79,56862.832
Jul-79,57437.976
Aug-79,57316.11
Sep-79,57177.794
Oct-79,57565.031
Nov-79,57856.05
Dec-79,57329.408
Jan-80,56365.776
Feb-80,56855.422
Mar-80,55736.996
Apr-80,54432.987
May-80,53945.816
Jun-80,54199.215
Jul-80,53691.345
Aug-80,53520.055
Sep-80,52420.661
Oct-80,49894.066
Nov-80,50782.572
Dec-80,51976.928
Jan-81,51759.718
Feb-81,51993.703
Mar-81,52563.569
Apr-81,51572.008
May-81,50848.94
Jun-81,50385.374
Jul-81,48677.885
Aug-81,48421.206
Sep-81,48219.253
Oct-81,48451.032
Nov-81,47895.052
Dec-81,48897.837
Jan-82,48637.439
Feb-82,48011.115
Mar-82,46337.263
Apr-82,45279.323
May-82,45948.266
Jun-82,47771.837
Jul-82,47532.928
Aug-82,47396.586
Sep-82,47292.627
Oct-82,48674.037
Nov-82,49308.525
Dec-82,48300.312
Jan-83,46766.046
Feb-83,44120.298
Mar-83,44990.944
Apr-83,44731.315
May-83,46460.134
Jun-83,46584.044
Jul-83,48243.091
Aug-83,48148.443
Sep-83,48148.443
Oct-83,48368.573
Nov-83,48427.305
Dec-83,47761.613
Jan-84,47805.50274
Feb-84,48178.74976
Mar-84,47828.02976
Apr-84,47996.08676
May-84,47637.84974
Jun-84,48696.15472
Jul-84,48083.54774
Aug-84,46500.99774
Sep-84,46928.68274
Oct-84,47303.39174
Nov-84,47471.47774
Dec-84,47336.16076
Jan-85,45918.5525
Feb-85,47331.10665
Mar-85,47536.263
Apr-85,47097.45035
May-85,45710.06229
Jun-85,44488.225
Jul-85,45121.636
Aug-85,45006.99671
Sep-85,46956.061
Oct-85,48536.15535
Nov-85,48996.112
Dec-85,49256.08371
Jan-86,48123.196
Feb-86,48338.82
Mar-86,47857.002
Apr-86,47981.64
May-86,48976.899
Jun-86,49746.078
Jul-86,50840.81
Aug-86,51387.712
Sep-86,47575.002
Oct-86,47862
Nov-86,48687.837
Dec-86,48869.845
Jan-87,48300.58686
Feb-87,47633.10785
Mar-87,46980.18151
Apr-87,47714.57645
May-87,48304.27445
Jun-87,48002.49045
Jul-87,50282.99816
Aug-87,50985.5805
Sep-87,50544.84218
Oct-87,50697.3125
Nov-87,50200.53186
Dec-87,50264.7925
Jan-88,49461.68975
Feb-88,49519.26641
Mar-88,49789.03572
Apr-88,50159.40122
May-88,49881.01922
Jun-88,49564.49822
Jul-88,49913.42822
Aug-88,51061.82522
Sep-88,51495.47322
Oct-88,53055.50322
Nov-88,53609.70022
Dec-88,53737.98422
Jan-89,50773.45406
Feb-89,50236.31906
Mar-89,50642.87606
Apr-89,51213.51426
May-89,51088.35626
Jun-89,51166.01671
Jul-89,51481.23071
Aug-89,52266.98571
Sep-89,52300.26087
Oct-89,52720.62748
Nov-89,53478.67548
Dec-89,53091.78148
Jan-90,52775.96517
Feb-90,52968.49179
Mar-90,53715.59917
Apr-90,53363.52722
May-90,52895.72687
Jun-90,52041.06613
Jul-90,52150.54182
Aug-90,48455.13072
Sep-90,50991.59254
Oct-90,51404.18529
Nov-90,51955.42025
Dec-90,52099.12748
Jan-91,51993.67881
Feb-91,51604.69028
Mar-91,51859.82993
Apr-91,50552.204
May-91,50350.78703
Jun-91,50626.54439
Jul-91,51502.73239
Aug-91,50814.23669
Sep-91,52080.8154
Oct-91,51856.8656
Nov-91,52098.11574
Dec-91,52534.45574
