Date,International Petrol Consumption,International Petrol Production,world population
Jan-73,49250.706,49250.706,
Feb-73,49767.142,49767.142,
Mar-73,49783.51,49783.51,
Apr-73,49728.109000000004,49728.109000000004,
May-73,50913.528,50913.528,
Jun-73,50289.342000000004,50289.342000000004,
Jul-73,51989.449,51989.449,
Aug-73,51322.867999999995,51322.867999999995,
Sep-73,52283.62,52283.62,
Oct-73,51290.97,51290.97,
Nov-73,48597.403,48597.403,
Dec-73,49018.864,49018.864,
Jan-74,50098.005999999994,50098.005999999994,
Feb-74,50553.552,50553.552,
Mar-74,51121.199,51121.199,
Apr-74,51711.22900000001,51711.22900000001,
May-74,51852.566,51852.566,
Jun-74,51512.804000000004,51512.804000000004,
Jul-74,50504.78,50504.78,
Aug-74,49060.037000000004,49060.037000000004,
Sep-74,49431.227999999996,49431.227999999996,
Oct-74,49677.654,49677.654,
Nov-74,49783.310999999994,49783.310999999994,
Dec-74,49283.93,49283.93,
Jan-75,47035.547999999995,47035.547999999995,
Feb-75,46047.670999999995,46047.670999999995,
Mar-75,46091.935,46091.935,
Apr-75,45721.056,45721.056,
May-75,46119.653,46119.653,
Jun-75,47347.611,47347.611,
Jul-75,48728.312000000005,48728.312000000005,
Aug-75,49696.57,49696.57,
Sep-75,51649.15900000001,51649.15900000001,
Oct-75,46064.983,46064.983,
Nov-75,47778.257000000005,47778.257000000005,
Dec-75,48495.763,48495.763,
Jan-76,47599.944,47599.944,
Feb-76,48977.045999999995,48977.045999999995,
Mar-76,50400.282,50400.282,
Apr-76,49371.106,49371.106,
May-76,49593.629,49593.629,
Jun-76,51437.517,51437.517,
Jul-76,51622.399000000005,51622.399000000005,
Aug-76,51986.931,51986.931,
Sep-76,52964.119000000006,52964.119000000006,
Oct-76,54762.765999999996,54762.765999999996,
Nov-76,55362.10400000001,55362.10400000001,
Dec-76,56740.09,56740.09,
Jan-77,51027.27099999999,51027.27099999999,
Feb-77,54815.087999999996,54815.087999999996,
Mar-77,55211.7,55211.7,
Apr-77,54416.635,54416.635,
May-77,52474.323,52474.323,
Jun-77,53348.465,53348.465,
Jul-77,52231.314000000006,52231.314000000006,
Aug-77,52975.404,52975.404,
Sep-77,54427.505,54427.505,
Oct-77,54084.205,54084.205,
Nov-77,55244.055,55244.055,
Dec-77,56465.805,56465.805,
Jan-78,50807.837,50807.837,
Feb-78,52261.748,52261.748,
Mar-78,52772.346,52772.346,
Apr-78,53605.765,53605.765,
May-78,52698.47900000001,52698.47900000001,
Jun-78,54033.647000000004,54033.647000000004,
Jul-78,53699.46599999999,53699.46599999999,
Aug-78,54475.41099999999,54475.41099999999,
Sep-78,56663.609000000004,56663.609000000004,
Oct-78,57069.268,57069.268,
Nov-78,57221.37,57221.37,
Dec-78,55776.818,55776.818,
Jan-79,54160.568,54160.568,
Feb-79,54451.215,54451.215,
Mar-79,55806.997,55806.997,
Apr-79,56733.737,56733.737,
May-79,56589.122,56589.122,
Jun-79,56862.832,56862.832,
Jul-79,57437.975999999995,57437.975999999995,
Aug-79,57316.11,57316.11,
Sep-79,57177.794,57177.794,
Oct-79,57565.030999999995,57565.030999999995,
Nov-79,57856.05,57856.05,
Dec-79,57329.407999999996,57329.407999999996,
Jan-80,56365.776,56365.776,4072884.17
Feb-80,56855.422,56855.422,
Mar-80,55736.996,55736.996,
Apr-80,54432.987,54432.987,
May-80,53945.816,53945.816,
Jun-80,54199.215,54199.215,
Jul-80,53691.345,53691.345,
Aug-80,53520.055,53520.055,
Sep-80,52420.66099999999,52420.66099999999,
Oct-80,49894.066,49894.066,
Nov-80,50782.572,50782.572,
Dec-80,51976.928,51976.928,
Jan-81,51759.718,51759.718,4152018.3910000003
Feb-81,51993.703,51993.703,
Mar-81,52563.569,52563.569,
Apr-81,51572.008,51572.008,
May-81,50848.94,50848.94,
Jun-81,50385.374,50385.374,
Jul-81,48677.885,48677.885,
Aug-81,48421.206,48421.206,
Sep-81,48219.253,48219.253,
Oct-81,48451.032,48451.032,
Nov-81,47895.052,47895.052,
Dec-81,48897.837,48897.837,
Jan-82,79884.407,48637.439000000006,4231262.2469999995
Feb-82,80408.516,48011.115,
Mar-82,77365.74,46337.263,
Apr-82,75243.632,45279.323,
May-82,73357.848,45948.265999999996,
Jun-82,75732.963,47771.837,
Jul-82,75018.475,47532.928,
Aug-82,74574.88,47396.585999999996,
Sep-82,75176.543,47292.627,
Oct-82,76367.594,48674.037000000004,
Nov-82,78324.598,49308.525,
Dec-82,78254.527,48300.312000000005,
Jan-83,74940.298,46766.045999999995,4310748.021000001
Feb-83,73893.198,44120.297999999995,
Mar-83,74679.448,44990.944,
Apr-83,72253.44,44731.315,
May-83,73041.839,46460.134000000005,
Jun-83,74324.841,46584.044,
Jul-83,75020.916,48243.09099999999,
Aug-83,76124.558,48148.443,
Sep-83,76652.295,48148.443,
Oct-83,76292.821,48368.573,
Nov-83,78056.143,48427.305,
Dec-83,79750.554,47761.613,
Jan-84,79952.50274,47805.502739999996,4391109.815
Feb-84,79976.19803,48178.74976,
Mar-84,79602.28782,47828.029760000005,
Apr-84,77313.12009,47996.086760000006,
May-84,77013.36587000001,47637.84974,
Jun-84,78019.25472000001,48696.15472,
Jul-84,77281.41871,48083.547739999995,
Aug-84,76498.06226,46500.99774,
Sep-84,76136.74941,46928.68274,
Oct-84,77248.58529,47303.39174,
Nov-84,78367.44441,47471.477739999995,
Dec-84,78274.83817999999,47336.16076,
Jan-85,78317.26217,45918.5525,4472843.512
Feb-85,79743.14236,47331.10665,
Mar-85,77382.29526,47536.263,
Apr-85,75828.41702000001,47097.45035,
May-85,74039.03003,45710.062289999994,
Jun-85,72762.725,44488.225,
Jul-85,74161.08761,45121.636,
Aug-85,74641.22251,45006.99671,
Sep-85,75675.12767,46956.060999999994,
Oct-85,78674.44567999999,48536.15535,
Nov-85,79015.11200000001,48996.112,
Dec-85,81258.56757999999,49256.08371,
Jan-86,79263.87342,48123.195999999996,4560277.25
Feb-86,81018.14142999999,48338.82,
Mar-86,78789.87297000001,47857.002,
Apr-86,78570.30667,47981.64,
May-86,78336.06029,48976.899000000005,
Jun-86,79572.84467,49746.078,
Jul-86,81053.32613,50840.81,
Aug-86,81556.84103,51387.712,
Sep-86,77496.13532999999,47575.002,
Oct-86,78698.67742,47862.0,
Nov-86,79540.57033,48687.837,
Dec-86,82279.87726000001,48869.845,
Jan-87,80231.49007999999,48300.58686,4649597.021000001
Feb-87,80374.85785,47633.10785,
Mar-87,78682.18151000001,46980.18151,
Apr-87,78285.74312,47714.57645,
May-87,77394.0809,48304.27445,
Jun-87,78859.42378,48002.49045,
Jul-87,81903.99816,50282.99816,
Aug-87,81201.32244,50985.5805,
Sep-87,81829.77551,50544.84218,
Oct-87,82028.21573,50697.3125,
Nov-87,81598.23186,50200.53186,
Dec-87,84231.95379,50264.7925,
Jan-88,81673.94781,49461.68975,4739746.363
Feb-88,83824.36986,49519.266410000004,
Mar-88,83560.80991,49789.03572,
Apr-88,80982.86789,50159.40122,
May-88,79737.08374,49881.01922,
Jun-88,81380.16489,49564.49822,
Jul-88,81227.58951,49913.42822,
Aug-88,83029.11554,51061.82522,
Sep-88,83512.03989,51495.47322,
Oct-88,85528.98709,53055.50322,
Nov-88,88184.63355,53609.70022,
Dec-88,89752.27454,53737.984220000006,
Jan-89,83708.22825,50773.454060000004,4828371.286
Feb-89,84935.60477,50236.31906,
Mar-89,85035.10187,50642.87606,
Apr-89,82517.24759,51213.51426,
May-89,81963.22722999999,51088.35626,
Jun-89,83448.68338,51166.01671,
Jul-89,82510.87587,51481.23071,
Aug-89,84764.72765,52266.98571,
Sep-89,84443.76087,52300.26087,
Oct-89,85971.62748,52720.62748,
Nov-89,87812.34215,53478.67548,
Dec-89,89857.74922,53091.78148,
Jan-90,86647.54582,52775.965169999996,4916383.535
Feb-90,87620.63465,52968.49179,
Mar-90,87586.66369,53715.59917,
Apr-90,85250.76055,53363.527219999996,
May-90,84853.21074,52895.72687,
Jun-90,84497.3328,52041.06613,
Jul-90,85409.76763,52150.54182,
Aug-90,82511.90491,48455.13072,
Sep-90,83059.75921,50991.59254,
Oct-90,84013.34658,51404.185289999994,
Nov-90,85181.02025,51955.42025,
Dec-90,85856.70812000001,52099.12748,
Jan-91,87130.90462,51993.678810000005,5082146.459
Feb-91,85562.76171,51604.69028,
Mar-91,84512.05574,51859.82993,
Apr-91,82891.13733,50552.204000000005,
May-91,82377.49671,50350.78703,
Jun-91,83292.17772,50626.544389999995,
Jul-91,84112.50658,51502.73239,
Aug-91,83559.36572,50814.23669,
Sep-91,84503.2154,52080.8154,
Oct-91,85762.12366,51856.8656,
Nov-91,86231.31573999999,52098.11574,
Dec-91,87842.35896,52534.45574,
Jan-92,86959.50894,51697.44442,5468619.186000001
Feb-92,86120.10552000001,50905.760689999996,
Mar-92,84418.73363,50168.604589999995,
Apr-92,84141.39522,50515.56188,
May-92,81292.1572,49530.96365,
Jun-92,82696.97608,49744.50941,
Jul-92,84033.93134,50140.15715,
Aug-92,82876.68865,50128.2693,
Sep-92,84212.57307,50350.339739999996,
Oct-92,85436.46313999999,51124.430889999996,
Nov-92,85823.50481,51025.90481,
Dec-92,87714.16941,51155.91134,
Jan-93,84306.1637,50827.67983,5567887.5139999995
Feb-93,87194.21245,51202.56959,
Mar-93,86644.01307,50593.56145,
Apr-93,83580.63359,49993.40026,
May-93,81908.11099999999,50069.59487,
Jun-93,83468.65082000001,49816.11748,
Jul-93,83987.56129,50372.94839,
Aug-93,83434.74019,50214.90148,
Sep-93,84532.71861,50150.85194,
Oct-93,84620.69707000001,50660.50352,
Nov-93,86674.84908,50623.24908,
Dec-93,88341.88954,50979.47019,
Jan-94,239550.4484,204137.9,5653337.8379999995
Feb-94,240690.9214,203391.6,
Mar-94,239098.4935,203149.3,
Apr-94,236351.0333,202016.2,
May-94,236191.8226,203174.5,
Jun-94,238807.1333,204318.2,
Jul-94,237621.4581,203346.2,
Aug-94,238109.329,202990.2,
Sep-94,239933.4667,204961.2,
Oct-94,241780.5871,206714.2,
Nov-94,243637.1,207857.2,
Dec-94,246572.0065,208908.2,
Jan-95,243579.8839,208073.4,5735022.744
Feb-95,247204.6143,209359.4,
Mar-95,243503.3677,206858.4,
Apr-95,244051.5667,209565.4,
May-95,243488.3258,209516.1,
Jun-95,241187.2,206363.1,
Jul-95,243397.9452,209505.3,
