Date,International Petrol Consumption,International Petrol Production
1973-01-01,49250.706,49250.706
1973-02-01,49767.142,49767.142
1973-03-01,49783.51,49783.51
1973-04-01,49728.109,49728.109
1973-05-01,50913.528,50913.528
1973-06-01,50289.342,50289.342
1973-07-01,51989.449,51989.449
1973-08-01,51322.868,51322.868
1973-09-01,52283.62,52283.62
1973-10-01,51290.97,51290.97
1973-11-01,48597.403,48597.403
1973-12-01,49018.864,49018.864
1974-01-01,50098.006,50098.006
1974-02-01,50553.552,50553.552
1974-03-01,51121.199,51121.199
1974-04-01,51711.229,51711.229
1974-05-01,51852.566,51852.566
1974-06-01,51512.804,51512.804
1974-07-01,50504.78,50504.78
1974-08-01,49060.037,49060.037
1974-09-01,49431.228,49431.228
1974-10-01,49677.654,49677.654
1974-11-01,49783.311,49783.311
1974-12-01,49283.93,49283.93
1975-01-01,47035.548,47035.548
1975-02-01,46047.671,46047.671
1975-03-01,46091.935,46091.935
1975-04-01,45721.056,45721.056
1975-05-01,46119.653,46119.653
1975-06-01,47347.611,47347.611
1975-07-01,48728.312,48728.312
1975-08-01,49696.57,49696.57
1975-09-01,51649.159,51649.159
1975-10-01,46064.983,46064.983
1975-11-01,47778.257,47778.257
1975-12-01,48495.763,48495.763
1976-01-01,47599.944,47599.944
1976-02-01,48977.046,48977.046
1976-03-01,50400.282,50400.282
1976-04-01,49371.106,49371.106
1976-05-01,49593.629,49593.629
1976-06-01,51437.517,51437.517
1976-07-01,51622.399,51622.399
1976-08-01,51986.931,51986.931
1976-09-01,52964.119,52964.119
1976-10-01,54762.766,54762.766
1976-11-01,55362.104,55362.104
1976-12-01,56740.09,56740.09
1977-01-01,51027.271,51027.271
1977-02-01,54815.088,54815.088
1977-03-01,55211.7,55211.7
1977-04-01,54416.635,54416.635
1977-05-01,52474.323,52474.323
1977-06-01,53348.465,53348.465
1977-07-01,52231.314,52231.314
1977-08-01,52975.404,52975.404
1977-09-01,54427.505,54427.505
1977-10-01,54084.205,54084.205
1977-11-01,55244.055,55244.055
1977-12-01,56465.805,56465.805
1978-01-01,50807.837,50807.837
1978-02-01,52261.748,52261.748
1978-03-01,52772.346,52772.346
1978-04-01,53605.765,53605.765
1978-05-01,52698.479,52698.479
1978-06-01,54033.647,54033.647
1978-07-01,53699.466,53699.466
1978-08-01,54475.411,54475.411
1978-09-01,56663.609,56663.609
1978-10-01,57069.268,57069.268
1978-11-01,57221.37,57221.37
1978-12-01,55776.818,55776.818
1979-01-01,54160.568,54160.568
1979-02-01,54451.215,54451.215
1979-03-01,55806.997,55806.997
1979-04-01,56733.737,56733.737
1979-05-01,56589.122,56589.122
1979-06-01,56862.832,56862.832
1979-07-01,57437.976,57437.976
1979-08-01,57316.11,57316.11
1979-09-01,57177.794,57177.794
1979-10-01,57565.031,57565.031
1979-11-01,57856.05,57856.05
1979-12-01,57329.408,57329.408
1980-01-01,56365.776,56365.776
1980-02-01,56855.422,56855.422
1980-03-01,55736.996,55736.996
1980-04-01,54432.987,54432.987
1980-05-01,53945.816,53945.816
1980-06-01,54199.215,54199.215
1980-07-01,53691.345,53691.345
1980-08-01,53520.055,53520.055
1980-09-01,52420.661,52420.661
1980-10-01,49894.066,49894.066
1980-11-01,50782.572,50782.572
1980-12-01,51976.928,51976.928
1981-01-01,51759.718,51759.718
1981-02-01,51993.703,51993.703
1981-03-01,52563.569,52563.569
1981-04-01,51572.008,51572.008
1981-05-01,50848.94,50848.94
1981-06-01,50385.374,50385.374
1981-07-01,48677.885,48677.885
1981-08-01,48421.206,48421.206
1981-09-01,48219.253,48219.253
1981-10-01,48451.032,48451.032
1981-11-01,47895.052,47895.052
1981-12-01,48897.837,48897.837
1982-01-01,79884.407,48637.439
1982-02-01,80408.516,48011.115
1982-03-01,77365.74,46337.263
1982-04-01,75243.632,45279.323
1982-05-01,73357.848,45948.266
1982-06-01,75732.963,47771.837
1982-07-01,75018.475,47532.928
1982-08-01,74574.88,47396.586
1982-09-01,75176.543,47292.627
1982-10-01,76367.594,48674.037
1982-11-01,78324.598,49308.525
1982-12-01,78254.527,48300.312
1983-01-01,74940.298,46766.046
1983-02-01,73893.198,44120.298
1983-03-01,74679.448,44990.944
1983-04-01,72253.44,44731.315
1983-05-01,73041.839,46460.134
1983-06-01,74324.841,46584.044
1983-07-01,75020.916,48243.091
1983-08-01,76124.558,48148.443
1983-09-01,76652.295,48148.443
1983-10-01,76292.821,48368.573
1983-11-01,78056.143,48427.305
1983-12-01,79750.554,47761.613
1984-01-01,79952.50274,47805.50274
1984-02-01,79976.19803,48178.74976
1984-03-01,79602.28782,47828.02976
1984-04-01,77313.12009,47996.08676
1984-05-01,77013.36587,47637.84974
1984-06-01,78019.25472,48696.15472
1984-07-01,77281.41871,48083.54774
1984-08-01,76498.06226,46500.99774
1984-09-01,76136.74941,46928.68274
1984-10-01,77248.58529,47303.39174
1984-11-01,78367.44441,47471.47774
1984-12-01,78274.83818,47336.16076
1985-01-01,78317.26217,45918.5525
1985-02-01,79743.14236,47331.10665
1985-03-01,77382.29526,47536.263
1985-04-01,75828.41702,47097.45035
1985-05-01,74039.03003,45710.06229
1985-06-01,72762.725,44488.225
1985-07-01,74161.08761,45121.636
1985-08-01,74641.22251,45006.99671
1985-09-01,75675.12767,46956.061
1985-10-01,78674.44568,48536.15535
1985-11-01,79015.112,48996.112
1985-12-01,81258.56758,49256.08371
1986-01-01,79263.87342,48123.196
1986-02-01,81018.14143,48338.82
1986-03-01,78789.87297,47857.002
1986-04-01,78570.30667,47981.64
1986-05-01,78336.06029,48976.899
1986-06-01,79572.84467,49746.078
1986-07-01,81053.32613,50840.81
1986-08-01,81556.84103,51387.712
1986-09-01,77496.13533,47575.002
1986-10-01,78698.67742,47862.0
1986-11-01,79540.57033,48687.837
1986-12-01,82279.87726,48869.845
1987-01-01,80231.49008,48300.58686
1987-02-01,80374.85785,47633.10785
